epoch,loss,lr,val_loss
0,14.908279418945312,0.001,13.881290435791016
1,12.584037780761719,0.001,13.474922180175781
2,11.908834457397461,0.001,12.465858459472656
3,11.49913501739502,0.001,12.652552604675293
4,10.318771362304688,0.0005,11.87630558013916
5,9.84177017211914,0.0005,11.682281494140625
6,9.553201675415039,0.0005,11.827475547790527
7,9.310882568359375,0.0005,11.759125709533691
8,9.141404151916504,0.0005,11.854138374328613
9,8.370979309082031,0.00025,11.591399192810059
10,8.071905136108398,0.00025,11.621254920959473
11,7.891551971435547,0.00025,11.586993217468262
12,7.734715938568115,0.00025,11.621550559997559
13,7.600531101226807,0.00025,11.734889030456543
14,7.144215106964111,0.000125,11.590652465820312
15,6.984690189361572,0.000125,11.714930534362793
16,6.871758937835693,0.000125,11.69555950164795
17,6.781248569488525,0.000125,12.143488883972168
18,6.697033882141113,0.000125,11.846526145935059
19,6.455238342285156,6.25e-05,11.863121032714844
